solution_id,source_id,num_selected_g_fov,mean_obs_time_g_fov,time_duration_g_fov,min_mag_g_fov,max_mag_g_fov,mean_mag_g_fov,median_mag_g_fov,range_mag_g_fov,std_dev_mag_g_fov,skewness_mag_g_fov,kurtosis_mag_g_fov,mad_mag_g_fov,abbe_mag_g_fov,iqr_mag_g_fov,num_selected_bp,mean_obs_time_bp,time_duration_bp,min_mag_bp,max_mag_bp,mean_mag_bp,median_mag_bp,range_mag_bp,std_dev_mag_bp,skewness_mag_bp,kurtosis_mag_bp,mad_mag_bp,abbe_mag_bp,iqr_mag_bp,num_selected_rp,mean_obs_time_rp,time_duration_rp,min_mag_rp,max_mag_rp,mean_mag_rp,median_mag_rp,range_mag_rp,std_dev_mag_rp,skewness_mag_rp,kurtosis_mag_rp,mad_mag_rp,abbe_mag_rp,iqr_mag_rp
369295549951641967,5338359442320395904,27,2051.7007910430884,601.4986926189142,5.4640248301366405,6.429327837883797,6.031011529940083,5.967221774171314,0.9653030077471563,0.3203002382266214,-0.21293296341146906,-1.3244682895780902,0.42488587901138064,0.8246651367033548,0.5923167374164748,34,2040.9184503330118,601.498692258773,5.958046143025189,7.22487072789939,6.691649328706852,6.645760680062679,1.2668245848742004,0.4125747569371254,-0.1907295464863547,-1.2798188961327783,0.555152669063234,0.592755136953821,0.7880221023284761,30,2048.5710016926614,637.7871917312175,4.871275141497836,5.636947015898919,5.208219485749407,5.15242594449856,0.7656718744010824,0.2601039826112081,0.3522736169048381,-1.320389559098974,0.32715640511621336,0.7324937051333756,0.47607310543449444
369295549951641967,1825621002188696448,39,2061.921923410492,546.270861203114,6.314528046532846,6.867073080811675,6.648577017999421,6.746300636565614,0.552545034278829,0.1940947109076796,-0.45081599009450113,-1.4335760761449505,0.1706382874171999,0.5265704827237765,0.39302620179856973,38,2068.3873612912807,546.2708608881746,7.057244698940881,7.774169387797354,7.51896248655954,7.664403590499415,0.7169246888564729,0.2508273701086566,-0.4863742854509609,-1.406998939607503,0.16209978202196632,0.5810023315601164,0.4684946036769908,38,2068.39597901168,546.2708608307619,5.4573504643381305,5.955978680176788,5.782866140652088,5.846752250112939,0.49862821583865724,0.15645466228489432,-0.565972185771583,-1.142672655819783,0.13479560430782558,0.603448462727947,0.2923346441045567
369295551293819386,3127142323596470144,18,2047.5805454659485,587.1764582727906,9.385570585944635,9.934818178744981,9.581819276057564,9.540276721672399,0.5492475928003469,0.16128910715314052,1.0043540390238126,0.6130378833425456,0.14771582467779498,0.665356685243841,0.23827028334788736,18,2047.580859685744,587.1764311521288,10.167765248622402,10.882583994797674,10.462328438797993,10.409245588069956,0.714818746175272,0.21261180501415772,0.6677819170723933,-0.12665804395811484,0.20006796165930746,0.6119508809652779,0.3269208774967396,18,2047.5809451413543,587.1764204481369,8.522256803503485,8.977857135300848,8.680876513521323,8.639894425854134,0.45560033179736337,0.13297448947076695,1.109530558501493,0.8029119710759037,0.11266629403709205,0.6248601160270248,0.16222882145110873
369295546864633574,4207681367143932800,15,2022.3290457856767,588.6836362581341,5.651056651893594,6.507614430444924,6.082852441265184,6.1124126033685755,0.8565577785513305,0.2690249975789624,-0.10788701405970016,-1.0027873494895096,0.33114529619361044,1.0044850799895295,0.46031389919231813,11,2012.4458303886197,588.6836367714257,6.250736948495788,6.999713079767044,6.691538991724344,6.657823020229671,0.748976131271256,0.2665070925467944,-0.2811072155992345,-1.4152531335651437,0.3711611806279387,0.8373495274199405,0.515347460886165,13,2054.765276386466,554.8783375494629,4.90384782168444,5.712344539716501,5.301371034634514,5.292199177646982,0.8084967180320604,0.23389093324220467,-0.05303989800251056,-0.5495201371299422,0.2287020908038629,0.6480880332265263,0.28344187548390565
369295551293819386,4267549637851481344,18,2017.5918428620935,586.0984398500043,7.52281240830326,8.40931480509435,7.911579413412663,7.851173637247868,0.8865023967910908,0.27172625554955115,0.3386504675114567,-0.8369033307113184,0.2883495201813285,0.7802592389151397,0.3925980742690598,18,2017.5921611497345,586.0984676916248,8.183626007219168,9.394847688694696,8.749278916611397,8.70420030555374,1.2112216814755286,0.3529541806092237,0.013511542681943703,-0.7056033839667366,0.41012923766112164,0.6929650704090187,0.5378186133588017,18,2017.5922484241946,586.0984693084276,6.767252621449806,7.4616909003480245,7.048561283576667,6.961312155238094,0.6944382788982182,0.22451674177612915,0.7490818378503478,-0.7702793900382602,0.1663061019732268,0.8982907543367865,0.29281616573562275
369295549951641967,5891675303053080704,27,1991.2076177923375,522.1472143185415,6.2435786737260095,6.8378970516602955,6.636094934106419,6.633809863616676,0.594318377934286,0.1741684415588978,-0.6973354693134498,-0.16453549128622064,0.2174025939598543,0.5106589110446871,0.24496900751010742,28,1989.2420646865114,522.1472429784146,6.715501758924823,7.479816757051076,7.222353962627372,7.196200714829892,0.7643149981262525,0.21074137314716732,-0.8742460968641516,0.4413455210265561,0.21496551626631488,0.49373561869132554,0.288950557839037,28,1989.2421521659403,522.1472410131676,5.690958675660109,6.130612977614032,5.961048580398121,5.926561121651741,0.4396543019539223,0.12680104846453827,-0.1823682970741917,-0.9494949750081647,0.14313176343373077,0.49678155086927267,0.21427184688567635
369295549951641967,1857884212378132096,23,2097.40630624858,545.1891639917176,5.223898665598107,5.828471137269755,5.389409526011548,5.341881877314446,0.6045724716716485,0.16074490961098642,1.8516995345037923,3.35844288276241,0.09541906566511861,0.6136282886790655,0.13876834947614825,27,2113.501240932343,545.1891925600312,5.537499448367498,6.287745881761243,5.758115065693846,5.6957411250988095,0.7502464333937446,0.20822919042998672,1.6235972994058698,2.184989507428202,0.1322311536771404,0.5165559783209244,0.18581348720327284,28,2121.6767527861043,545.1891905768925,4.852791917450702,5.368657648079907,4.996261975323074,4.972120538538192,0.5158657306292049,0.1281141571886739,1.9546156673475117,3.453165101257271,0.07016541797713297,0.5674079110336593,0.1084340959201775
369295551293819386,3435571660360952704,12,2118.611810648817,561.6476094522857,4.828188296068056,5.587509197149487,5.291337052971125,5.3107680920341345,0.7593209010814306,0.27460292158860045,-0.3160947430864076,-1.5122415867965293,0.36761714019138053,1.0459379808379776,0.5328339173844654,12,2118.6121252991334,561.6476099221038,5.148276333381268,6.0282542754496795,5.674986342547488,5.70406997945361,0.8799779420684111,0.3286119441079034,-0.2492809730266029,-1.7101440257689897,0.4266756249547706,0.9919503010632524,0.6561208515436263,12,2118.6122122998017,561.647607218656,4.5886413657129665,5.075102182140899,4.851745427769962,4.804158764801048,0.4864608164279325,0.19409257324428564,-0.055063582622230677,-1.9485171094520104,0.2792576743406088,0.8691852502621665,0.37671287801267184
369295551293819386,4096107909387492992,14,2044.7733794872363,591.5230633345466,5.188427842105799,5.768407625899769,5.477741364779018,5.433060362910986,0.57997978379397,0.19294170496788918,0.1291092767063003,-1.2775880547567378,0.23061863572783445,0.5993786569601177,0.33692811915586063,13,2040.3733891443424,591.5230640131456,5.639736181817888,6.288006570218467,6.010652997962473,5.996633770113473,0.6482703884005794,0.24623294124322861,-0.33290154898031904,-1.5652454860804175,0.34174663325784865,0.7982791814852475,0.36078154640111393,16,2042.886039825179,591.6992357708896,4.661563719570907,5.107955414200564,4.89229344685859,4.849734299527313,0.4463916946296571,0.16811060153036061,-0.09978452790913007,-1.725845144532706,0.2710578498022925,0.8902501204119936,0.36565148280367055
369295549951641967,5932569709575669504,61,2058.596566296048,603.9225330606014,7.866928589483976,8.133421620449013,8.01099821883797,8.023975614501552,0.2664930309650373,0.09555339897729062,-0.16749187268852214,-1.6006463968799953,0.13630104706999668,0.2631742493009065,0.19076809292734964,64,2059.43963119783,603.9225330276297,8.502223006548512,8.840662902653545,8.685984506623955,8.701362974832755,0.338439896105033,0.11438492363467044,-0.16262299689478704,-1.5313295979273946,0.16145921727723853,0.25230909279377933,0.23176647666932482,65,2055.9974219382816,603.9225332477249,7.136282324281186,7.392467563252126,7.2483607760396,7.255742095955313,0.25618523897093937,0.07632989245407701,0.0773231906817763,-1.4208332580520198,0.11106138455985541,0.25470068171315197,0.14887889998382775
