Target_name,RA_1,Dec_1,source_id,ra_2,ra_error,dec_2,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_template_logg,rv_template_fe_h,phot_variable_flag,teff_val,a_g_val,GroupID,GroupSize,Separation
HV00817,9.81875,-72.033056,4689217466690224384,9.819046493324164,0.017037093430319988,-72.03286739415245,0.015817646494606933,0.0033730473268657815,0.020294882272084154,0.5603684162670972,-1.2720022088136873,13.937256,0.9630823,,,,,VARIABLE,5405.56,1.1105,1,6,0.7546012047018504
HV00819,9.81875,-72.033056,4689217466690224384,9.819046493324164,0.017037093430319988,-72.03286739415245,0.015817646494606933,0.0033730473268657815,0.020294882272084154,0.5603684162670972,-1.2720022088136873,13.937256,0.9630823,,,,,VARIABLE,5405.56,1.1105,1,6,0.7546012047018504
HV00822,9.81875,-72.033056,4689217466690224384,9.819046493324164,0.017037093430319988,-72.03286739415245,0.015817646494606933,0.0033730473268657815,0.020294882272084154,0.5603684162670972,-1.2720022088136873,13.937256,0.9630823,,,,,VARIABLE,5405.56,1.1105,1,6,0.7546012047018504
HV00823,9.81875,-72.033056,4689217466690224384,9.819046493324164,0.017037093430319988,-72.03286739415245,0.015817646494606933,0.0033730473268657815,0.020294882272084154,0.5603684162670972,-1.2720022088136873,13.937256,0.9630823,,,,,VARIABLE,5405.56,1.1105,1,6,0.7546012047018504
HV00824,11.722083,-72.714167,4688974886982934016,11.721306178797622,0.025940061585643104,-72.71437676091303,0.020385435467181717,0.05290145566239128,0.027780787667289534,0.6924153718028402,-1.247564102594171,12.219525,1.117712,139.2030963477816,3.568839958932875,3.5,0.0,NOT_AVAILABLE,5019.21,,2,2,1.1228226285279441
HV00829,12.620833,-72.7525,4688965399355605120,12.619998164888388,0.022959723905889864,-72.75256413932378,0.019073910607216665,-0.04997038932183492,0.023832760064600406,0.8020141462805593,-1.1774607735113896,11.756469,1.0655499,109.16809951637237,7.8637037993640675,1.0,-0.5,VARIABLE,5200.28,,,,0.9205306672427207
HV00834,13.428333,-72.287222,4689057414725777152,13.427701097851253,0.025794349588099147,-72.28712583293087,0.02164182888321415,-0.11081764453603597,0.028954216785726208,0.8003470176863559,-1.143495254499802,12.057661,1.0933666,159.5230461751006,10.871261055961012,0.5,-0.25,VARIABLE,5012.11,,,,0.7738716199565334
HV00837,13.983333,-71.984444,4689071575280146432,13.983582183969856,0.02742306727514879,-71.98408665724632,0.018744985232055103,0.02873714108680195,0.026619833310733858,0.8373848839295482,-1.2376476120281468,13.043082,1.140748,,,,,VARIABLE,5022.68,,,,1.3160114564217622
HV00840,14.472917,-72.4125,4688997014660077312,14.4721718866414,0.015321599406268066,-72.41283264810957,0.012383121510317062,-0.04469329004259012,0.013928943539134148,0.7525556488908607,-1.2125979133280067,13.377137,1.0979795,,,,,VARIABLE,5018.953,,,,1.4460356119151403
HV00847,15.261667,-72.198611,4690504204544129408,15.261216283204094,0.01634993799274535,-72.19840211577966,0.013229306871080001,-0.037001974353401586,0.015634750199976732,0.8701484936419137,-1.1405076966121066,13.803009,1.1333542,,,,,VARIABLE,4982.485,,,,0.9008605778348286
