solution_id,source_id,pf,pf_error,p1_o,p1_o_error,p2_o,p2_o_error,p3_o,p3_o_error,epoch_g,epoch_g_error,epoch_bp,epoch_bp_error,epoch_rp,epoch_rp_error,int_average_g,int_average_g_error,int_average_bp,int_average_bp_error,int_average_rp,int_average_rp_error,peak_to_peak_g,peak_to_peak_g_error,peak_to_peak_bp,peak_to_peak_bp_error,peak_to_peak_rp,peak_to_peak_rp_error,metallicity,metallicity_error,r21_g,r21_g_error,r31_g,r31_g_error,phi21_g,phi21_g_error,phi31_g,phi31_g_error,num_clean_epochs_g,num_clean_epochs_bp,num_clean_epochs_rp,g_absorption,g_absorption_error,type_best_classification,type2_best_sub_classification,mode_best_classification,multi_mode_best_classification
369295549951641967,5338359442320395904,38.71791440244922,0.0015952114231488467,,,,,,,1652.1763250713307,0.0022559696294695854,1651.2551382158254,0.0022559696294695854,1617.0573663419077,0.0022559696294695854,5.924271643195711,6.229326463551522E-4,6.570709680091175,5.907496898793912E-4,5.175639219551034,7.317117071168977E-4,1.0342480739905993,0.0020757949828353298,1.3558380881983796,0.0023234787297250425,0.7147507612235948,0.002279169544280224,,,0.5055930599711872,0.003332072105825545,0.3331692086269805,0.0018889696289811396,4.7529559855351735,0.0036245909456389174,2.7004906902378085,0.010231844723734857,27,34,28,,,DCEP,,FUNDAMENTAL,
369295549951641967,1825621002188696448,7.990139955058473,6.829121599172303E-5,,,,,,,1744.158111615604,9.657836384644512E-5,1744.1513388697094,9.657836384644512E-5,1744.2456524553004,9.657836384644512E-5,6.576982046912324,1.9399182691224467E-4,7.406668173002194,5.69036570041274E-4,5.716347718375517,5.715716031507977E-4,0.5416754945906375,9.603206009053009E-4,0.7172869175927046,0.0026250561422736358,0.4618838934565721,0.0012450422477611287,,,0.24910967782919313,0.001873309815566075,0.1527365584836671,0.0014372980361934133,5.058690638455765,0.007933168537294793,3.256584006860713,0.011874832939019253,39,37,37,,,DCEP,,FUNDAMENTAL,
369295551293819386,4267549637851481344,10.602811735600383,9.055088068154575E-5,,,,,,,1691.851479801968,1.280582835446699E-4,1692.3463710534668,1.280582835446699E-4,1691.9487979601631,1.280582835446699E-4,7.8767255397839016,2.3602491550166107E-4,8.66090920895257,5.505041474903141E-4,7.001432026306471,6.616860385795369E-4,0.7514929368423218,8.391581229864363E-4,0.9130913809912116,0.0019903527518105126,0.5254575892659581,0.0024087007208695,,,,,,,,,,,18,17,15,,,DCEP,,FUNDAMENTAL,
369295549951641967,5891675303053080704,5.494569706156711,2.2738162408930852E-5,,,,,,,1725.309319002799,3.21566176621521E-5,1725.2207688285746,3.21566176621521E-5,1725.4623029052864,3.21566176621521E-5,6.551813602853182,2.5172935476251284E-4,7.110081658220773,8.201011357269481E-4,5.927436421540925,5.028742937571232E-4,0.5805617898889537,7.38450050587928E-4,0.7054699825630735,0.0023649483239927024,0.36872327497327806,0.0012986656602842934,0.35774350088173956,0.23378316850648873,0.30144416662021994,0.0011115388749180146,,,4.540080678629202,0.0027023330542925777,,,27,27,27,,,DCEP,,FUNDAMENTAL,
369295549951641967,1857884212378132096,2.217210945265626,1.853667741153147E-5,,,,,,,1758.8747573866815,2.6214820596722805E-5,1760.7205984562304,2.6214820596722805E-5,1760.5690562038158,2.6214820596722805E-5,5.4585609876713015,7.629183139667759E-4,5.766362332387538,0.0030626408319506257,5.072982211433134,0.0038513891710133773,0.6267306332124978,0.005295580401099378,0.6764860698036488,0.005499383997018307,0.4025610173010943,0.06028537072898786,-0.03301465981361118,0.22006594548374425,0.4029213487378663,0.00397172036649382,,,5.6210301415236685,0.012908989100362167,,,23,25,26,,,DCEP,,FUNDAMENTAL,
369295549951641967,5932569709575669504,11.287517377387255,1.387933019901328E-4,,,,,,,1674.4132099479054,1.962833700409905E-4,1674.0723787197314,1.962833700409905E-4,1675.021994714631,1.962833700409905E-4,7.982944730790841,1.4132161613655855E-4,8.647318189895913,3.515001490332664E-4,7.236576546163402,2.868952107289425E-4,0.2619570342620552,3.9924073752817816E-4,0.3165312054414535,8.436272710163483E-4,0.19896771646075795,4.209957938931149E-4,,,0.11719160180970734,0.0023965236290704023,0.02473458146616287,0.0018682101882666051,6.52544544900362,0.011450335662701294,5.495603554212771,0.05093932581819841,66,64,65,,,DCEP,,FUNDAMENTAL,
369295549951641967,2027951173435143680,44.87620944377743,0.0012111083774627043,,,,,,,1648.5539380757714,0.0017127658929114303,1649.013481104912,0.0017127658929114303,1650.7356397029675,0.0017127658929114303,6.655573911522717,2.3978351261766327E-4,7.502060995991675,8.154762199278534E-4,5.778804935345323,2.875814554230354E-4,0.8357704549371539,0.0011622934524143803,1.0766312048333306,0.002173238515142989,0.7357201587862905,0.0012461871536006309,,,0.4193516242017665,8.047714795568934E-4,0.23342967354637578,0.0012237112860249508,4.881201847686292,0.0032006677478799823,3.4665657962759084,0.00596017820825236,37,32,34,,,DCEP,,FUNDAMENTAL,
369295551293819386,4092905375639902464,6.0933262327518305,5.1766359339217214E-5,,,,,,,1700.8516562005625,7.320868745220013E-5,1701.1310031424566,7.320868745220013E-5,1700.5172950130227,7.320868745220013E-5,6.3535761598030565,5.444057569358686E-4,7.014666195834437,9.038262644676783E-4,5.625438674878774,0.00348088504037673,0.6728552349371739,0.0016221423114890776,0.9492937272961814,0.003816228494585234,0.5603696482210738,0.016485983300818394,-0.318796352196949,0.2339748630242696,0.5019235858949476,0.0029181293224511758,,,3.1001119278604605,0.006009876901275546,,,18,17,16,,,DCEP,,FUNDAMENTAL,
369295551293819386,4267397694768545920,,,2.2586144372728856,2.2504283684298714E-6,,,,,1751.6020082202888,3.1825863197826807E-6,1751.5450970378213,3.1825863197826807E-6,1751.567972421553,3.1825863197826807E-6,6.6090960832382155,5.751532513414337E-4,7.3946899485909015,0.0016367236252828163,5.848355652307621,0.0012520256156885576,1.0069891749411948,0.0015474319039625317,1.154050676716647,0.003770180246381632,0.6665885311364832,0.0032943098604809964,,,,,,,,,,,14,13,13,,,DCEP,,FIRST_OVERTONE,
369295549951641967,1870258975238302208,16.390621155118538,2.791331642811293E-4,,,,,,,1727.8359437158213,3.947539066344903E-4,1726.6565153970673,3.947539066344903E-4,1727.2314806300171,3.947539066344903E-4,6.072325169273412,2.444141024617339E-4,6.688082633107715,5.368108675287749E-4,5.359146173566042,0.001133920492550081,0.6416266282289698,7.576771399256204E-4,0.948347427077783,0.0025000579616538867,0.5465760454571038,0.0022684828386544975,,,,,,,,,,,31,32,34,,,DCEP,,FUNDAMENTAL,
