# Table1.txt
# CepID, logp, colour, e_colour, fe_h, galaxy
# whitespace separated
#
HV837 1.6310 -0.005 0.016 -0.83 SMC
HV840 1.5189 0.001 0.020 ... SMC
HV843 1.1677 -0.007 0.016 ... SMC
HV847 1.4330 -0.009 0.018 -0.75 SMC
HV854 1.2031 0.025 0.016 ... SMC
HV855 1.5179 -0.016 0.016 ... SMC
HV856 1.0848 0.010 0.016 ... SMC
HV857 1.0786 0.018 0.042 ... SMC
HV863 1.4617 0.003 0.019 ... SMC
HV865 1.5230 0.009 0.020 -0.87 SMC
HV1326 1.1375 0.011 0.013 ... SMC
HV1328 1.1997 0.025 0.007 ... SMC
HV1333 1.2120 0.022 0.013 ... SMC
HV1334 0.9755 0.007 0.035 ... SMC
HV1335 1.1578 0.031 0.012 ... SMC
HV1338 0.9292 0.049 0.035 ... SMC
HV1342 1.2539 0.035 0.005 ... SMC
HV1345 1.1296 0.023 0.013 ... SMC
HV1351 1.1170 0.021 0.008 ... SMC
HV1363 1.0286 -0.001 0.029 ... SMC
HV1365 1.0940 0.050 0.012 -0.82 SMC
HV1372 1.1979 0.034 0.015 ... SMC
HV1373 1.1370 0.005 0.013 ... SMC
HV1382 1.0367 0.040 0.038 ... SMC
HV1400 0.8227 0.016 0.030 ... SMC
HV1430 1.3797 -0.005 0.018 ... SMC
HV1438 1.1351 0.043 0.008 ... SMC
HV1442 1.1844 0.050 0.011 ... SMC
HV1451 1.4782 -0.028 0.016 ... SMC
HV1478 1.2438 0.009 0.015 ... SMC
HV1482 1.1993 0.044 0.012 ... SMC
HV1501 1.4379 0.008 0.019 ... SMC
HV1522 1.3454 -0.006 0.017 ... SMC
HV1533 1.2158 0.004 0.013 ... SMC
HV1543 1.3108 0.009 0.017 ... SMC
HV1553 1.0987 0.044 0.010 ... SMC
HV1560 1.1906 0.005 0.013 ... SMC
HV1610 1.0661 0.017 0.035 ... SMC
HV1630 1.0569 0.043 0.035 ... SMC
HV1682 1.0845 0.007 0.010 ... SMC
HV1689 0.8353 0.064 0.021 ... SMC
HV1695 1.1641 0.028 0.012 ... SMC
HV1705 1.0317 0.033 0.030 ... SMC
HV1744 1.1012 0.026 0.011 ... SMC
HV1783 0.9111 -0.017 0.039 ... SMC
HV1787 1.2093 0.007 0.014 ... SMC
HV1835 1.2107 0.006 0.014 ... SMC
HV1855 0.8350 0.020 0.036 ... SMC
HV1873 1.1119 0.028 0.015 ... SMC
HV1877 1.6966 -0.021 0.013 ... SMC
HV1884 1.2579 -0.004 0.013 ... SMC
HV1925 1.2355 0.038 0.006 ... SMC
HV1950 0.9025 0.015 0.039 ... SMC
HV1954 1.2230 0.017 0.007 -0.76 SMC
HV1956 2.3197 0.137 0.022 ... SMC
HV1967 1.4636 0.007 0.018 ... SMC
HV1996 1.1535 -0.004 0.015 ... SMC
HV2017 1.0573 0.021 0.040 ... SMC
HV2052 1.0996 0.016 0.011 ... SMC
HV2060 1.0079 0.035 0.023 ... SMC
HV2063 1.0479 0.000 0.035 ... SMC
HV2064 1.5270 -0.014 0.017 -0.64 SMC
HV2088 1.1638 -0.003 0.018 ... SMC
HV2103 0.9535 0.029 0.033 ... SMC
HV2189 1.1294 0.015 0.014 ... SMC
HV2195 1.6210 -0.015 0.011 -0.67 SMC
HV2201 1.0512 -0.013 0.035 ... SMC
HV2202 1.1203 0.018 0.013 ... SMC
HV2205 1.4053 -0.006 0.020 ... SMC
HV2209 1.3550 0.031 0.007 -0.65 SMC
HV2225 1.1191 -0.006 0.013 ... SMC
HV2227 1.0957 0.009 0.013 ... SMC
HV2229 1.0191 0.019 0.037 ... SMC
HV2230 1.0979 -0.009 0.011 ... SMC
HV2231 1.5646 -0.025 0.008 ... SMC
HV10355 1.0017 0.015 0.026 ... SMC
HV10366 1.1504 0.033 0.008 ... SMC
HV11112 0.8255 0.058 0.025 ... SMC
HV11116 1.0206 0.051 0.029 ... SMC
HV11129 1.3888 -0.002 0.018 ... SMC
HV11157 1.8388 -0.028 0.008 ... SMC
HV11182 1.5932 -0.033 0.012 ... SMC
HV11211 1.3300 0.005 0.018 -0.83 SMC
HV12108 1.1935 0.037 0.010 ... SMC
HV12951 1.4773 -0.018 0.013 ... SMC
